,TranscriptionFlux,TranslationFlux
b0642,7.508025702438662e-09,2.7227503762168042e-08
b0650,0.0,0.0
b0651,0.0,0.0
b0652,0.0,0.0
b0653,0.0,0.0
b0654,0.0,0.0
b0655,0.0,0.0
b0657,4.556806032701499e-12,1.5373541876959768e-10
b0661,5.558106606788313e-14,1.8751683539492073e-12
b0662,0.0,0.0
b0664,5.428026314103178e-07,
b0665,5.428026314103178e-07,
b0666,5.428026314103178e-07,
b0668,5.428026314103178e-07,
b0670,5.428026314103178e-07,
b0672,5.428026314103178e-07,
b0673,5.428026314103178e-07,
b0674,5.272388262177711e-10,1.7787740175573502e-08
b0677,0.0,0.0
b0678,0.0,0.0
b0679,0.0,0.0
b0680,3.5728348129469237e-10,1.2053865190249438e-08
b0684,1.7752101754816484e-14,5.98912215646638e-13
b0688,0.0,0.0
b0692,0.0,0.0
b0693,0.0,0.0
b0696,0.0,0.0
b0697,0.0,0.0
b0698,0.0,0.0
b0709,0.0,0.0
b0720,4.5457473112738335e-09,1.5336232473014595e-07
b0721,3.6136944342029293e-09,1.2191715494595948e-07
b0722,3.6136944342029293e-09,1.2191715494595948e-07
b0723,3.6136944342029293e-09,1.2191715494595948e-07
b0724,3.6136944342029293e-09,1.2191715494595948e-07
b0726,3.6136944342029293e-09,6.758533803100379e-30
b0727,3.6136944342029293e-09,1.3517067606211988e-29
b0728,3.6136944342029293e-09,8.644151496336205e-09
b0729,3.6136944342029293e-09,8.644151496336205e-09
b0731,0.0,0.0
b0732,0.0,0.0
b0733,0.0,0.0
b0734,0.0,0.0
b0736,0.0,0.0
b0743,0.0,
b0744,0.0,
b0745,0.0,
b0746,1.78928441345581e-06,
b0747,1.78928441345581e-06,
b0748,0.0,
b0749,0.0,
b0750,3.7593057194392016e-08,1.268297212813991e-06
b0751,3.7593057194392016e-08,0.0
b0752,0.0,0.0
b0754,0.0,0.0
b0755,0.0,0.0
b0756,0.0,0.0
b0757,0.0,-2.9066860165690267e-29
b0758,0.0,-3.573286200780774e-29
b0759,0.0,3.743274209002196e-29
b0763,7.37219818780144e-15,1.243599099369835e-13
b0764,7.37219818780144e-15,2.48719819873967e-13
b0765,7.37219818780144e-15,2.48719819873967e-13
b0766,0.0,0.0
b0767,1.8358540331529114e-08,6.193719604503208e-07
b0774,2.0240081366477566e-16,6.828505234754175e-15
b0775,3.3545941144367008e-16,7.950170570666128e-15
b0776,3.3545941144367008e-16,7.522891299459462e-15
b0777,3.3545941144367008e-16,8.450401645854422e-15
b0778,3.3545941144367008e-16,1.1317574794361163e-14
b0781,6.824476412185894e-11,2.3024103540537225e-09
b0783,6.824476412185894e-11,2.3024103540537225e-09
