,TranscriptionFlux,TranslationFlux
b3904,0.0,0.0
b3907,0.0,0.0
b3908,0.0,0.0
b3909,-5.747964659306961e-31,-1.939221787431498e-29
b3915,0.0,0.0
b3916,8.544126033099726e-09,2.8825778062360917e-07
b3917,0.0,0.0
b3918,0.0,0.0
b3919,3.7505525789856194e-08,1.265344118687264e-06
b3924,0.0,0.0
b3925,0.0,0.0
b3926,0.0,0.0
b3927,0.0,0.0
b3930,0.0,0.0
b3936,1.2835944124474525e-07,4.33053158532042e-06
b3939,1.1282164697773773e-08,3.806324653699477e-07
b3940,1.1282164697773773e-08,4.7504321600936166e-08
b3941,7.624725288778656e-08,2.5723946265463396e-06
b3942,0.0,0.0
b3945,2.6383557582622117e-41,0.0
b3946,2.6383557582622117e-41,3.1061486013064946e-40
b3951,0.0,0.0
b3952,0.0,0.0
b3956,-5.532688652071983e-42,-2.3191121492802862e-40
b3957,3.1004990896689925e-08,1.0460320727376527e-06
b3958,9.001121010139943e-08,2.54963828488357e-06
b3959,9.001121010139943e-08,3.0367566623618347e-06
b3960,9.001121010139943e-08,6.625511821319992e-07
b3962,0.0,0.0
b3965,4.327606284040587e-13,1.4600278343480328e-11
b3966,6.780637529412714e-10,-1.4034066543883523e-69
b3967,6.780637529412714e-10,2.2876201941189785e-08
b3968,0.0,
b3969,0.0,
b3970,0.0,
b3971,0.0,
b3972,4.093606061064426e-10,1.3810819191318606e-08
b3974,1.8129692453476013e-12,6.116511963636894e-11
b3976,2.075843105306869e-07,
b3977,2.075843105306869e-07,
b3978,2.075843105306869e-07,
b3979,2.075843105306869e-07,
b3980,2.075843105306869e-07,0.0
b3981,1.8410937338975003e-09,6.21139706504061e-08
b3982,1.8410937338975003e-09,3.7243991929307816e-11
b3983,1.2835944124474525e-07,4.33053158532042e-06
b3984,1.2835944124474525e-07,4.33053158532042e-06
b3985,1.2835944124474525e-07,4.33053158532042e-06
b3986,5.13437764978981e-07,1.732212634128168e-05
b3987,1.2835944124474525e-07,2.1234893900963255e-07
b3988,1.2835944124474525e-07,2.1234893900963255e-07
b3990,1.920388321184116e-14,1.7420977382916655e-13
b3991,1.920388321184116e-14,5.764008956326842e-13
b3992,1.920388321184116e-14,1.7420977382916655e-13
b3993,1.920388321184116e-14,6.478917483842444e-13
b3994,1.920388321184116e-14,2.7867469200862804e-13
b3996,6.57158335247292e-16,0.0
b3997,6.57158335247292e-16,2.21709046077784e-14
b4005,6.887162856413522e-09,2.3235592172823777e-07
b4006,6.887162856413522e-09,2.0802473692884706e-09
b4007,2.0202998964027316e-06,
b4008,2.0202998964027316e-06,
b4009,2.0202998964027316e-06,
b4010,2.0202998964027316e-06,
b4013,1.9082754972469703e-08,6.438051797502148e-07
b4014,1.0131829374091482e-08,2.022634947767892e-07
b4015,1.0131829374091482e-08,3.418229831487099e-07
b4019,0.0,0.0
b4022,5.485446207040391e-14,1.8506545236412034e-12
b4024,3.0807752303017934e-09,1.0393777280984287e-07
b4025,3.2053942542255905e-10,1.0814211192195238e-08
b4031,0.0,0.0
b4032,1.0635098014676183e-30,3.588020282646651e-29
b4033,1.0635098014676183e-30,3.588020282646651e-29
b4034,1.0635098014676183e-30,3.588020282646651e-29
b4035,4.180056929348105e-30,7.176040565293302e-29
b4036,4.180056929348105e-30,1.410248314065523e-28
b4039,9.683565028845453e-13,3.2669964756204646e-11
b4040,9.683565028845453e-13,2.163570901666005e-11
b4041,1.8891071087005135e-10,6.373382372927565e-09
b4042,0.0,0.0
b4049,0.0,0.0
b4053,1.042786084223845e-10,3.5181035618981614e-09
b4054,1.7506019475666757e-09,5.906100052902249e-08
b4055,0.0,5.244408855217227e-29
b4067,-9.491379766065778e-44,0.0
b4069,-9.491379766065778e-44,9.816162052112764e-42
b4070,-2.2808755803667124e-31,-7.69511276083749e-30
b4071,-2.2808755803667124e-31,-7.69511276083749e-30
b4072,-2.2808755803667124e-31,-7.69511276083749e-30
b4073,-2.2808755803667124e-31,-7.69511276083749e-30
b4077,0.0,0.0
b4079,0.0,0.0
b4084,0.0,0.0
b4085,0.0,0.0
b4086,0.0,0.0
b4087,0.0,0.0
b4088,0.0,0.0
b4090,1.717746783926558e-08,5.795254818220125e-07
b4094,4.952470129262409e-10,1.6708415144339645e-08
b4111,0.0,0.0
b4115,0.0,0.0
b4117,0.0,0.0
b4119,0.0,0.0
b4120,0.0,0.0
b4122,0.0,0.0
b4123,0.0,0.0
b4129,0.0,0.0
b4130,0.0,0.0
b4131,0.0,0.0
b4132,0.0,0.0
b4134,0.0,
b4136,-1.6623395414323753e-37,-7.519581795768091e-36
b4138,0.0,0.0
b4139,0.0,0.0
b4142,1.7147858379500862e-12,5.785265315345078e-11
b4143,1.7147858379500862e-12,5.785265315345078e-11
b4151,-1.7549507323314322e-29,-5.920771782226491e-28
b4152,-1.7549507323314322e-29,-5.920771782226491e-28
b4153,-1.7549507323314322e-29,-5.920771782226491e-28
b4154,-1.7549507323314322e-29,-5.920771782226491e-28
b4160,2.9907551326174118e-09,1.0090071630230839e-07
b4161,0.0,0.0
b4162,4.387736040158674e-12,1.4803141339425045e-10
b4163,5.335409301178457e-07,
b4164,5.335409301178457e-07,
b4165,5.335409301178457e-07,
b4166,6.49736116778115e-14,2.192049722673789e-12
b4169,0.0,0.0
b4171,1.1116273211293478e-13,3.750356949651211e-12
b4177,1.3852813787627653e-11,4.673598378984811e-10
b4180,1.0970892414080782e-13,3.701309047282407e-12
b4192,0.0,0.0
b4193,0.0,0.0
b4194,0.0,0.0
b4195,0.0,0.0
b4196,0.0,0.0
b4197,0.0,-3.9029942739549156e-29
b4198,0.0,4.65914391509689e-29
b4200,1.2835944124474525e-07,4.33053158532042e-06
b4202,1.2835944124474525e-07,4.33053158532042e-06
b4203,1.2835944124474525e-07,4.33053158532042e-06
b4208,2.8228781219264652e-11,9.523695919806748e-10
b4213,0.0,0.0
b4214,3.116097676801731e-08,1.0512946520703172e-06
b4219,0.0,0.0
b4226,0.0,0.0
b4227,0.0,0.0
b4230,0.0,0.0
b4231,0.0,0.0
b4232,0.0,0.0
b4233,0.0,0.0
b4237,3.349432316878792e-10,0.0
b4238,3.349432316878792e-10,1.1300160159999417e-08
b4239,1.927628373692678e-30,6.503343638836314e-29
b4240,1.927628373692678e-30,4.5813481681431744e-29
b4242,0.0,0.0
b4244,9.962019214544213e-10,0.0
b4245,9.962019214544213e-10,3.360940063605857e-08
b4254,1.1479116472788299e-09,3.872771334536851e-08
b4258,5.777449271507303e-10,1.949169169811501e-08
b4260,0.0,0.0
b4261,1.3382354599168855e-09,4.514877029353785e-08
b4262,1.3382354599168855e-09,4.514877029353785e-08
b4265,0.0,-1.7509346953957982e-29
b4266,0.0,2.062057617290537e-29
b4267,0.0,-4.088135976284061e-30
b4268,-9.352858821342301e-31,-3.155424341684227e-29
b4270,4.122127769807028e-07,
b4287,0.0,0.0
b4288,0.0,0.0
b4289,0.0,7.6115185572344e-30
b4290,0.0,0.0
b4291,0.0,0.0
b4293,0.0,0.0
b4301,7.690518404401836e-39,8.135726097169633e-41
b4311,0.0,0.0
b4321,0.0,0.0
b4322,0.0,-1.564673468353363e-29
b4323,0.0,1.3689009360645833e-29
b4356,0.0,2.657346087319838e-29
b4358,0.0,3.341311515999562e-29
b4367,0.0,0.0
b4368,2.9267058657827394e-07,
b4369,2.9267058657827394e-07,
b4370,2.9267058657827394e-07,
b4371,5.485446207040391e-14,1.8506545236412034e-12
b4374,2.433561585833078e-14,8.21023775896502e-13
b4375,3.076829058191229e-11,1.0380463867650455e-09
b4381,-7.793712390352364e-43,4.98986940328064e-41
b4382,1.8119872372488435e-14,6.113198910037197e-13
b4383,7.00308279827444e-10,2.5576355319784273e-41
b4384,7.00308279827444e-10,2.3626677522470982e-08
b4386,0.0,0.0
b4388,1.8445074490815804e-10,6.222914099771043e-09
b4390,0.0,0.0
b4392,0.0,0.0
b4394,0.0,0.0
b4395,7.040717779068826e-08,2.3753648683659087e-06
b4407,1.920388321184116e-14,1.7420977382916655e-13
b4460,0.0,0.0
b4467,6.532100990902201e-13,2.203770083859166e-11
b4468,6.532100990902201e-13,2.203770083859166e-11
b4471,2.076996349517438e-08,0.0
b4474,0.0,0.0
b4476,0.0,0.0
b4477,0.0,-2.478210984128646e-29
b4478,0.0,-1.4798503403996047e-29
b4481,0.0,0.0
b4485,0.0,0.0
b4513,0.0,0.0
b4544,0.0,0.0
dummy,5.0681419490724355e-05,0.0017098663391263453
